"Nombre,Ranking,Dinero,Tiempo,Encuesta"
Clojure,30,93067,12.7496,1040
Erlang,35,82008,12.8175,386
F#,34,81074,13.4158,482
Ruby,17,81074,11.4446,3680
Scala,26,81074,10.9318,1353
Elixir,31,80908.5,11.5745,977
LISP,32,77832,13.2942,484
Perl,27,77832,16.4396,1173
Rust,16,76831,9.6877,2748
Go,14,76800,10.4046,4792
Groovy,24,76536,11.7047,1693
Bash/Shell,9,71850,11.2143,13006
Crystal,37,71850,14.6488,228
APL,36,70264,17.3747,139
Objective-C,25,70150,12.7911,1388
PowerShell,13,70047.5,11.5786,5164
Julia,33,67500,10.5516,442
Haskell,28,67452,10.1677,653
R,21,63380,9.6533,1872
Python,3,61465,9.4694,18341
C#,8,60505,11.3741,12976
Swift,20,60000,10.904,2362
TypeScript,7,60000,9.7429,15861
Assembly,19,59454,12.1825,1478
SQL,4,59000,10.9272,22483
Node.js,6,56860,9.6148,15426
JavaScript,1,56616,10.1401,29578
VBA,22,56000,12.7039,2023
C,12,55776,11.1898,6321
C++,10,54972,10.7903,7744
HTML/CSS,2,54972,10.1647,24125
Kotlin,15,54289,9.2775,3731
COBOL,38,54049,17.3541,214
Java,5,53616,10.0457,13912
Matlab,23,49725,8.9751,1334
Delphi,29,48000,19.0208,984
PHP,11,41232,10.2902,9430
Dart,18,35796,8.0857,2253
